,station,network,i,lon,lat,alt,tstep,parameter,icon_ilevel
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,2
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,1
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,0
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,59
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,58
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,57
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,56
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,55
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,54
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,53
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,52
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,51
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,50
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,49
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,48
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,47
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,46
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,45
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,44
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,43
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,42
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,41
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,40
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,39
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,38
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,37
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,36
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,35
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,34
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,33
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,32
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,31
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,30
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,29
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,28
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,27
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,26
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,25
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,24
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,23
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,22
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,21
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,20
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,19
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,18
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,17
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,16
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,15
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,14
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,13
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,12
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,11
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,10
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,9
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,8
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,7
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,6
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,5
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,4
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,3
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,2
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,1
2,TROPOMI,WFMD,19303,8.7777,45.7486,-999,11.0,CH4,0
